Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-03-11,1850.0,1850.0,1849.75,1850.0,12.0,1843.5,1.0,170.0
2014-03-12,1839.5,1845.5,1834.0,1845.5,2.5,1846.0,275.0,221.0
2014-03-13,1849.25,1851.5,1821.5,1825.75,20.75,1825.25,5.0,472.0
2014-03-14,1830.0,1831.0,1819.25,1819.25,6.75,1818.5,38.0,475.0
2014-03-17,1816.75,1840.5,1810.0,1837.0,17.75,1836.25,30.0,499.0
2014-03-18,1842.5,1851.75,1832.0,1849.75,13.0,1849.25,28.0,516.0
2014-03-19,1852.0,1852.75,1828.25,1836.0,11.25,1838.0,169.0,531.0
2014-03-20,1834.5,1851.5,1831.0,1851.25,14.0,1852.0,35.0,653.0
2014-03-21,1853.5,1847.25,1841.25,1847.25,9.25,1836.0,0.0,6.0
2014-03-24,1825.0,1837.75,1825.0,1826.75,7.75,1828.25,1.0,6.0
2014-03-25,1835.0,1840.0,1835.0,1836.75,9.75,1838.0,6.0,7.0
2014-03-26,1821.5,1845.25,1824.0,1824.0,16.5,1821.5,0.0,8.0
2014-03-27,1823.0,1825.75,1815.0,1819.25,2.0,1819.5,18.0,8.0
2014-03-28,1829.25,1832.0,1829.25,1832.0,9.75,1829.25,0.0,23.0
2014-03-31,1843.5,1845.25,1843.5,1842.0,14.25,1843.5,0.0,23.0
2014-04-01,1852.5,1856.5,1842.0,1856.5,13.0,1856.5,1.0,23.0
2014-04-02,1859.25,1861.5,1859.25,1860.5,5.25,1861.75,6.0,24.0
2014-04-03,1862.0,1862.0,1855.5,1861.25,0.25,1862.0,0.0,23.0
2014-04-04,1862.75,1865.5,1844.75,1844.75,23.0,1839.0,25.0,23.0
2014-04-07,1832.0,1832.0,1818.75,1818.75,22.0,1817.0,22.0,45.0
2014-04-08,1813.75,1826.75,1813.75,1824.5,6.75,1823.75,25.0,46.0
2014-04-09,1838.0,1843.0,1823.5,1843.0,19.75,1843.5,4.0,65.0
2014-04-10,1818.0,1818.0,1809.0,1809.0,38.0,1805.5,3.0,69.0
2014-04-11,1800.0,1808.0,1785.0,1787.5,16.0,1789.5,17.0,70.0
2014-04-14,1790.0,1799.5,1785.0,1796.5,12.75,1802.25,2.0,73.0
2014-04-15,1806.5,1814.0,1790.0,1814.0,15.25,1817.5,4.0,72.0
2014-04-16,1830.5,1828.25,1830.5,1828.25,13.0,1830.5,0.0,74.0
2014-04-17,1835.75,1834.75,1835.75,1834.75,5.25,1835.75,0.0,74.0
2014-04-21,1842.25,1841.5,1835.5,1841.5,6.5,1842.25,0.0,74.0
2014-04-22,1851.75,1853.5,1841.5,1853.5,9.5,1851.75,0.0,74.0
2014-04-23,1850.75,1850.75,1848.5,1848.5,1.0,1850.75,0.0,74.0
2014-04-24,1851.0,1856.75,1848.0,1849.0,0.25,1851.0,0.0,74.0
2014-04-25,1845.0,1845.0,1834.75,1835.0,13.0,1838.0,2.0,74.0
2014-04-28,1825.0,1844.75,1824.75,1841.0,6.0,1844.0,1.0,75.0
2014-04-29,1849.0,1849.5,1849.0,1848.75,5.5,1849.5,1.0,76.0
2014-04-30,1847.25,1854.75,1844.75,1854.5,6.0,1855.5,7.0,77.0
2014-05-01,1855.5,1856.5,1851.0,1855.5,,1855.5,0.0,77.0
2014-05-02,1852.0,1859.25,1853.5,1853.5,3.5,1852.0,0.0,77.0
2014-05-05,1845.0,1855.25,1842.0,1854.5,1.5,1853.5,13.0,77.0
2014-05-06,1844.0,1856.0,1841.0,1842.75,11.5,1842.0,6.0,85.0
2014-05-07,1851.75,1848.5,1835.5,1848.5,9.75,1851.75,0.0,85.0
2014-05-08,1850.0,1858.75,1844.75,1847.5,1.75,1850.0,0.0,85.0
2014-05-09,1851.0,1851.0,1842.5,1849.5,1.0,1851.0,0.0,85.0
2014-05-12,1865.0,1866.75,1865.0,1866.75,19.5,1870.5,1.0,85.0
2014-05-13,1872.0,1873.75,1872.0,1872.0,1.5,1872.0,0.0,86.0
2014-05-14,1874.75,1874.75,1863.25,1863.25,9.0,1863.0,7.0,86.0
2014-05-15,1845.0,1864.0,1840.75,1844.5,18.0,1845.0,0.0,86.0
2014-05-16,1852.25,1851.75,1840.75,1851.75,7.25,1852.25,0.0,86.0
2014-05-19,1843.25,1856.0,1842.25,1856.0,7.75,1860.0,5.0,86.0
2014-05-20,1856.0,1856.0,1843.75,1846.5,14.25,1845.75,1.0,86.0
2014-05-21,1860.5,1861.0,1860.5,1861.0,16.75,1862.5,8.0,86.0
2014-05-22,1867.75,1868.0,1867.75,1868.0,5.25,1867.75,0.0,87.0
2014-05-23,1867.25,1869.5,1867.25,1869.5,6.5,1874.25,2.0,87.0
2014-05-27,1877.5,1886.75,1877.5,1885.5,12.5,1886.75,11.0,87.0
2014-05-28,1886.5,1887.5,1886.5,1887.0,0.25,1886.5,0.0,94.0
2014-05-29,1890.0,1895.0,1886.25,1895.0,8.75,1895.25,4.0,99.0
2014-05-30,1899.25,1899.25,1894.0,1899.25,3.75,1899.0,1.0,100.0
2014-06-02,1890.75,1898.25,1890.75,1898.0,0.25,1899.25,4.0,101.0
2014-06-03,1898.75,1899.25,1895.0,1899.0,0.25,1899.5,1.0,101.0
2014-06-04,1903.0,1903.25,1894.5,1903.25,3.5,1903.0,0.0,101.0
2014-06-05,1904.5,1917.5,1899.5,1916.25,13.0,1916.0,8.0,101.0
2014-06-06,1917.25,1926.0,1917.25,1926.0,10.75,1926.75,14.0,105.0
2014-06-09,1927.5,1931.5,1924.0,1927.5,1.0,1927.75,5.0,110.0
2014-06-10,1927.0,1927.0,1921.75,1927.5,0.25,1928.0,1.0,113.0
2014-06-11,1921.25,1922.25,1917.25,1920.75,6.5,1921.5,4.0,112.0
2014-06-12,1923.75,1924.5,1903.5,1909.0,13.5,1908.0,21.0,112.0
2014-06-13,1910.75,1913.75,1904.75,1910.75,5.25,1913.25,3.0,104.0
2014-06-16,1916.5,1917.25,1904.75,1914.0,0.75,1914.0,1.0,106.0
2014-06-17,1915.5,1919.5,1909.5,1918.75,4.5,1918.5,1.0,106.0
2014-06-18,1919.25,1934.0,1916.25,1933.75,15.5,1934.0,46.0,108.0
2014-06-19,1934.5,1936.25,1929.5,1935.0,1.0,1935.0,79.0,122.0
2014-06-20,1938.75,1932.0,1934.0,1932.0,3.0,1931.75,0.0,8.0
2014-06-23,1931.5,1936.75,1931.0,1931.0,0.25,1931.5,0.0,8.0
2014-06-24,1921.75,1936.0,1920.25,1920.25,9.75,1921.75,0.0,8.0
2014-06-25,1925.0,1929.5,1918.0,1929.5,6.25,1928.0,5.0,8.0
2014-06-26,1927.0,1927.0,1918.25,1925.0,1.0,1927.0,0.0,8.0
2014-06-27,1930.25,1929.25,1924.0,1929.25,3.25,1930.25,0.0,8.0
